ENT,MUN,NOM_MUN,TOT_VIV,VIV_REM,VIV_EMIG,VIV_CIRC,VIV_RET,IAIM,GAIM,POS_NAL
5,5013,Hidalgo,377,3.71,0.53,0,1.33,1.34,Bajo,1470
5,5014,Jiménez,2309,8.27,4.11,0.26,1,3.399,Bajo,961
5,5015,Juárez,424,15.8,7.55,4.01,0.71,6.261,medio,566
5,5016,Lamadrid,473,8.25,4.02,1.27,0.85,3.464,Bajo,952
5,5017,Matamoros,21199,4.17,2.52,1.83,0.63,2.428,Bajo,1157
5,5018,Monclova,48589,2.57,2.9,1.09,0.63,1.725,Bajo,1342
5,5019,Morelos,1849,5.46,4.54,1.19,1.89,3.127,Bajo,1001
5,5020,Múzquiz,15944,7.28,3.79,1.24,0.99,3.569,Bajo,931
5,5021,Nadadores,1523,2.89,0.85,0,0,0.934,Muy Bajo,1665
5,5022,Nava,5486,2.48,3.26,1.95,1.55,2.656,Bajo,1097
5,5023,Ocampo,2920,3.36,1.61,0,0.96,1.45,Bajo,1443
5,5024,Parras,10018,0.49,0.25,0,0.15,0.233,Muy Bajo,2135
5,5025,Piedras Negras,32078,5.47,3.3,0.55,1.37,2.732,Bajo,1076
5,5026,Progreso,1013,10.66,9.18,1.97,1.28,5.614,medio,649
5,5027,Ramos Arizpe,9705,0.56,0.61,0.39,0.24,0.433,Muy Bajo,1984
5,5028,Sabinas,13280,7.9,5.77,1.69,1.62,4.169,medio,828
5,5029,Sacramento,514,2.72,0.78,0.19,0.19,0.999,Muy Bajo,1635
5,5030,Saltillo,135762,1.44,0.84,0.39,0.22,0.739,Muy Bajo,1758
5,5031,San Buenaventura,5310,4.43,3.09,0.66,0.45,2.183,Bajo,1229
5,5032,San Juan de Sabinas,10523,6.77,4.49,0.37,1.71,3.356,Bajo,971
5,5033,San Pedro,20194,5.13,4.44,1.86,0.26,2.993,Bajo,1026
5,5034,Sierra Mojada,1507,1.53,2.52,0.6,0,1.174,Muy Bajo,1544
5,5035,Torreón,128363,3.26,1.7,0.93,0.68,1.665,Bajo,1365
5,5036,Viesca,4423,2.8,1.47,0.18,2.31,1.722,Bajo,1343
5,5037,Villa Unión,1646,9.66,3.77,1.52,1.52,4.069,medio,841
5,5038,Zaragoza,3092,6.95,3.27,1.16,2.36,3.43,Bajo,957
6,6001,Armería,6933,17.47,11.09,0.69,2.02,7.986,Alto,404
6,6002,Colima,34389,6.83,5.23,1.62,2.08,3.888,medio,874
6,6003,Comala,4802,9.5,7.75,1.5,2.54,5.197,medio,695
6,6004,Coquimatlán,4721,11.04,9.98,1.95,1.97,6.329,medio,558
6,6005,Cuauhtémoc,6896,10.3,9.45,1.17,3.41,6.172,medio,580
6,6006,Ixtlahuacán,1335,10.41,6.59,2.25,5.09,6.078,medio,593
6,6007,Manzanillo,31482,4.56,3.31,1.19,1.22,2.556,Bajo,1122
6,6008,Minatitlán,2062,12.22,10.28,1.26,4.66,6.965,Alto,492
6,6009,Tecomán,23199,8.2,6.34,1.61,2.64,4.676,medio,752
6,6010,Villa de Álvarez,21107,5.11,3.89,1.07,1.96,2.964,Bajo,1029
7,7001,Acacoyagua,2653,1.88,1.96,0.19,0.23,0.997,Muy Bajo,1637
7,7002,Acala,6032,0.53,0.08,0,0,0.167,Muy Bajo,2187
7,7003,Acapetahua,5333,2.08,1.65,0.15,0,0.981,Muy Bajo,1642
7,7004,Altamirano,4069,0,0,0,0,0,Nulo,
7,7005,Amatán,3778,0.11,0.24,0,0,0.091,Muy Bajo,2288
7,7006,Amatenango de la Frontera,5372,0.24,0.78,0,0,0.261,Muy Bajo,2116
7,7007,Amatenango del Valle,1452,0,0,0,0,0,Nulo,
7,7008,Angel Albino Corzo,3945,0.63,0.63,0,0.13,0.372,Muy Bajo,2036
7,7009,Arriaga,9459,1.01,1.64,0.05,0,0.496,Muy Bajo,1932
7,7010,Bejucal de Ocampo,1109,0.72,1.53,0,0,0.569,Muy Bajo,1870
7,7011,Bella Vista,3168,1.96,4.23,0,0,1.571,Bajo,1392
7,7012,Berriozábal,6178,0.4,0.52,0,0.15,0.288,Muy Bajo,2099
7,7013,Bochil,4671,0.26,0.26,0,0,0.137,Muy Bajo,2229
7,7014,El Bosque,2851,0,0,0,0,0,Nulo,
7,7015,Cacahoatán,8072,2.81,3.51,0.4,0.11,1.718,Bajo,1347
7,7016,Catazajá,3675,0,0.16,0,0,0.044,Muy Bajo,2318
7,7017,Cintalapa,14741,0.33,0.23,0,0,0.145,Muy Bajo,2216
7,7018,Coapilla,1760,0.34,0.8,0.11,0,0.332,Muy Bajo,2066
7,7019,Comitán de Domínguez,23920,0.87,1.63,0.15,0.13,0.725,Muy Bajo,1765
7,7020,La Concordia,7881,0.2,0.51,0,0,0.184,Muy Bajo,2176
7,7021,Copainalá,4257,0.52,2.89,0.56,0.14,1.013,Muy Bajo,1626
7,7022,Chalchihuitán,2491,0,0,0,0,0,Nulo,
7,7023,Chamula,11733,0.38,0.77,0.89,0.51,0.618,Muy Bajo,1833
7,7024,Chanal,1459,0,0.41,0,0,0.104,Muy Bajo,2269
7,7025,Chapultenango,1412,0,0.78,0,0,0.203,Muy Bajo,2160
7,7026,Chenalhó,5013,0.2,0.1,0,0,0.079,Muy Bajo,2295
7,7027,Chiapa de Corzo,14034,0.22,0.24,0,0,0.127,Muy Bajo,2240
7,7028,Chiapilla,1264,0.47,1.11,0,0,0.449,Muy Bajo,1973
7,7029,Chicoasén,917,0.33,1.64,0.11,0,0.545,Muy Bajo,1889
7,7030,Chicomuselo,5049,1.43,0.73,0.14,0,0.621,Muy Bajo,1831
7,7031,Chilón,12746,0,0,0,0.08,0.02,Muy Bajo,2335
7,7032,Escuintla,5642,1.35,1.42,0,0,0.707,Muy Bajo,1777
7,7033,Francisco León,898,0.11,0.33,0,0.11,0.141,Muy Bajo,2223
7,7034,Frontera Comalapa,10199,2.48,2.34,0.66,0.17,1.406,Bajo,1453
7,7035,Frontera Hidalgo,2393,5.81,6.06,0,0.13,3.068,Bajo,1009
7,7036,La Grandeza,938,0.96,3.3,0.43,0.32,1.128,Muy Bajo,1564
7,7037,Huehuetán,6693,2.63,1.66,0.15,0.46,1.121,Muy Bajo,1570
7,7038,Huixtán,3441,0,0,0.26,0,0.066,Muy Bajo,2299
7,7039,Huitiupán,3839,0,0,0,0,0,Nulo,
7,7040,Huixtla,10555,1.83,1.5,0,0,0.741,Muy Bajo,1755
7,7041,La Independencia,6414,0.28,0.87,0.37,0.09,0.414,Muy Bajo,2002
7,7042,Ixhuatán,1857,0.48,0.32,0,0,0.217,Muy Bajo,2149
7,7043,Ixtacomitán,1924,1.04,0,0.36,0,0.364,Muy Bajo,2042
7,7044,Ixtapa,3913,0,0,0,0,0,Nulo,
7,7045,Ixtapangajoya,872,0.69,1.61,0.11,0,0.638,Muy Bajo,1822
7,7046,Jiquipilas,8552,0.77,0.33,0,0.15,0.327,Muy Bajo,2071
7,7047,Jitotol,2317,0,0,0,0,0,Nulo,
7,7048,Juárez,4326,2.2,0.9,0.6,0,0.87,Muy Bajo,1697
7,7049,Larráinzar,3178,0,0,0,0,0,Nulo,
7,7050,La Libertad,1274,0,0,0.24,0,0.062,Muy Bajo,2305
7,7051,Mapastepec,8718,2.11,2.48,0.62,0.15,1.313,Bajo,1480
7,7052,Las Margaritas,15319,0.29,0.51,0.11,0,0.23,Muy Bajo,2140
7,7053,Mazapa de Madero,1215,1.65,2.63,0,0.25,1.195,Muy Bajo,1533
7,7054,Mazatán,5635,0.69,0.55,0.28,0.11,0.43,Muy Bajo,1988
7,7055,Metapa,1076,1.3,0.93,0,0,0.58,Muy Bajo,1863
7,7056,Mitontic,1590,0,0,0,0,0,Nulo,
7,7057,Motozintla,10376,0.72,0.96,0.33,0,0.46,Muy Bajo,1962
7,7058,Nicolás Ruíz,615,0,0,0,0,0,Nulo,
7,7059,Ocosingo,27300,0.18,0.06,0,0,0.064,Muy Bajo,2303
7,7060,Ocotepec,1886,0,0.21,0,0,0.057,Muy Bajo,2309
7,7061,Ocozocoautla de Espinosa,14495,0.13,0.14,0,0.17,0.121,Muy Bajo,2247
7,7062,Ostuacán,3640,0.8,0.66,0.77,0,0.576,Muy Bajo,1865
7,7063,Osumacinta,689,0,0,0,0,0,Nulo,
7,7064,Oxchuc,6788,0,0,0,0,0,Nulo,
7,7065,Palenque,17546,0.07,0.25,0.1,0.07,0.129,Muy Bajo,2236
7,7066,Pantelhó,3018,0,0.07,0,0,0.017,Muy Bajo,2337
7,7067,Pantepec,1714,0,0,0,0,0,Nulo,
7,7068,Pichucalco,6397,0.83,1.25,0.06,0,0.537,Muy Bajo,1894
7,7069,Pijijiapan,10140,1.04,1.46,0.28,0.17,0.76,Muy Bajo,1741
7,7070,El Porvenir,1668,0.42,1.08,0,0,0.375,Muy Bajo,2033
7,7071,Villa Comaltitlán,5655,1.01,0.85,0.19,0.34,0.548,Muy Bajo,1886
7,7072,Pueblo Nuevo Solistahuacán,4418,0.36,0,0,0,0.104,Muy Bajo,2270
7,7073,Rayón,1383,0.43,0,0,0,0.118,Muy Bajo,2254
7,7074,Reforma,7849,1.39,1.67,0,0,0.789,Muy Bajo,1723
7,7075,Las Rosas,4802,0.62,0.83,0,0,0.375,Muy Bajo,2031
7,7076,Sabanilla,4085,0.39,1.18,0.2,0.2,0.503,Muy Bajo,1923
7,7077,Salto de Agua,8694,0.3,0.14,0,0,0.115,Muy Bajo,2258
7,7078,San Cristóbal de las Casas,29193,0.21,0.22,0.05,0.04,0.136,Muy Bajo,2230
7,7079,San Fernando,5153,0.16,0,0.16,0.16,0.119,Muy Bajo,2251
7,7080,Siltepec,5055,0.53,0.95,0,0,0.385,Muy Bajo,2021
7,7081,Simojovel,5921,0.3,0.2,0.2,0,0.185,Muy Bajo,2175
7,7082,Sitalá,1490,0,0,0,0,0,Nulo,
7,7083,Socoltenango,3120,0.35,0.58,0.22,0,0.282,Muy Bajo,2101
7,7084,Solosuchiapa,1566,0,0,0,0,0,Nulo,
7,7085,Soyaló,1789,0.11,0,0,0,0.031,Muy Bajo,2326
7,7086,Suchiapa,3385,0,0,0,0,0,Nulo,
7,7087,Suchiate,6766,2.78,3.12,0,0,1.523,Bajo,1416
7,7088,Sunuapa,387,0.52,0,0,0,0.142,Muy Bajo,2220
7,7089,Tapachula,65334,1.51,0.94,0.09,0.19,0.713,Muy Bajo,1772
7,7090,Tapalapa,823,0.61,1.7,0.12,0,0.637,Muy Bajo,1823
7,7091,Tapilula,2154,0,0.51,0,0.19,0.18,Muy Bajo,2180
7,7092,Tecpatán,7664,1.37,1.58,0.29,0,0.822,Muy Bajo,1714
7,7093,Tenejapa,5645,0,0.02,0.02,0,0.009,Muy Bajo,2344
7,7094,Teopisca,5715,0.05,0.05,0,0,0.028,Muy Bajo,2330
7,7096,Tila,10636,0.07,0,0,0,0.018,Muy Bajo,2336
7,7097,Tonalá,18013,1.29,0.82,0,0,0.545,Muy Bajo,1888
7,7098,Totolapa,1106,0.18,0,0,0,0.052,Muy Bajo,2312
7,7099,La Trinitaria,12938,1.41,2.6,0.62,0,1.19,Muy Bajo,1536
7,7100,Tumbalá,4283,0,0,0,0,0,Nulo,
7,7101,Tuxtla Gutiérrez,107226,0.77,0.55,0.1,0.05,0.385,Muy Bajo,2022
7,7102,Tuxtla Chico,7363,1.32,0.54,0,0.11,0.43,Muy Bajo,1987
7,7103,Tuzantán,5042,0.54,0.14,0,0,0.156,Muy Bajo,2205
7,7104,Tzimol,2777,0.18,1.55,0,0,0.456,Muy Bajo,1969
7,7105,Unión Juárez,3079,1.66,1.62,0,0.75,0.961,Muy Bajo,1650
7,7106,Venustiano Carranza,11783,0.7,1.28,0,0,0.53,Muy Bajo,1899
7,7107,Villa Corzo,15708,0.7,0.62,0,0,0.349,Muy Bajo,2052
7,7108,Villaflores,19758,0.5,0.72,0,0,0.331,Muy Bajo,2067
7,7109,Yajalón,5037,0.18,0.36,0,0,0.139,Muy Bajo,2224
7,7110,San Lucas,1202,0.08,0,0,0,0.025,Muy Bajo,2332
7,7111,Zinacantán,5677,0.12,0,0,0,0.032,Muy Bajo,2325
7,7112,San Juan Cancuc,4031,0.1,0,0,0,0.035,Muy Bajo,2323
7,7113,Aldama,733,0,0,0,0,0,Nulo,
7,7114,Benemérito de las Américas,2767,0.8,1.66,0,0,0.509,Muy Bajo,1917
7,7115,Maravilla Tenejapa,2025,0.89,3.65,0.15,0,1.155,Muy Bajo,1550
7,7116,Marqués de Comillas,1433,0.56,1.88,0.42,0.14,0.553,Muy Bajo,1880
7,7117,Montecristo de Guerrero,880,2.16,2.84,0.91,0.23,1.558,Bajo,1399
7,7118,San Andrés Duraznal,655,0,0,0,0,0,Nulo,
7,7119,Santiago el Pinar,369,0,0,0,0,0,Nulo,
8,8001,Ahumada,3085,4.6,2.33,0,0.55,2.038,Bajo,1258
8,8002,Aldama,5025,6.29,3.24,0.98,1.55,3.022,Bajo,1023
8,8003,Allende,2229,9.91,9.78,0.72,1.53,4.943,medio,722
8,8004,Aquiles Serdán,957,3.13,1.15,1.36,2.09,1.97,Bajo,1272
8,8005,Ascensión,5270,3.36,6.41,0.13,1.27,2.801,Bajo,1064
8,8006,Bachíniva,1974,13.12,11.25,12.11,1.37,9.405,Alto,295
8,8007,Balleza,3739,3.42,3.37,0.94,0.78,1.911,Bajo,1293
8,8008,Batopilas,2600,0.42,0.42,0,0.12,0.247,Muy Bajo,2122
8,8009,Bocoyna,6781,1.34,0.75,0.35,0.19,0.668,Muy Bajo,1806
8,8010,Buenaventura,5314,4.03,3.42,2.07,1.15,2.584,Bajo,1113
8,8011,Camargo,11878,4.98,6.7,0.62,0.46,3.035,Bajo,1014
8,8012,Carichí,2039,3.68,7.45,2.94,0.29,3.581,Bajo,925
8,8013,Casas Grandes,2699,3.63,3.52,1.15,2,2.605,Bajo,1111
8,8014,Coronado,585,16.07,12.31,2.56,0.68,7.81,Alto,419
8,8015,Coyame del Sotol,497,13.68,8.45,3.22,4.02,7.306,Alto,453
8,8016,La Cruz,1015,13.3,10.25,3.05,1.28,7.055,Alto,479
8,8017,Cuauhtémoc,33907,10.88,8.87,1.88,2.77,6.205,medio,577
8,8018,Cusihuiriachi,1699,12.42,13.95,3.71,3.18,8.371,Alto,374
8,8019,Chihuahua,174234,3.39,2.9,1,0.93,2.084,Bajo,1252
8,8020,Chínipas,1427,0.42,0.28,0,0,0.161,Muy Bajo,2194
8,8021,Delicias,30253,5.03,4.86,1.45,1.74,3.246,Bajo,986
8,8022,Dr. Belisario Domínguez,1166,13.98,22.81,3,3.86,11.287,Alto,189
8,8023,Galeana,1020,6.76,14.61,4.8,1.67,5.737,medio,631
8,8024,Santa Isabel,1233,13.46,16.38,23.11,2.6,13.679,Muy Alto,93
8,8025,Gómez Farías,2518,14.26,14.14,2.38,2.34,8.277,Alto,380
8,8026,Gran Morelos,1070,17.29,14.3,21.03,2.52,13.851,Muy Alto,86
8,8027,Guachochi,8431,0.75,0.32,0,0,0.205,Muy Bajo,2159
8,8028,Guadalupe,2582,3.83,5.27,3.76,2.4,3.559,Bajo,932
8,8029,Guadalupe y Calvo,8889,0.09,0.11,0.24,0.12,0.145,Muy Bajo,2218
8,8030,Guazapares,1766,1.47,1.64,0,0,0.778,Muy Bajo,1732
8,8031,Guerrero,9769,3.56,2.65,0.84,0.1,1.72,Bajo,1344
8,8032,Hidalgo del Parral,25483,6.93,4.72,1.19,1.6,3.696,medio,902
8,8033,Huejotitán,326,22.39,22.7,3.68,1.23,12.673,Muy Alto,126
8,8034,Ignacio Zaragoza,2114,9.89,14.81,7.76,0.61,8.053,Alto,395
8,8035,Janos,2852,12.8,9.71,3.05,3.68,7.659,Alto,428
8,8036,Jiménez,9070,5.27,2.46,0.4,0,1.934,Bajo,1281
8,8037,Juárez,301976,2.67,2.42,0.46,1.23,1.666,Bajo,1364
8,8038,Julimes,1493,11.79,5.49,2.61,3.08,5.767,medio,625
8,8039,López,1137,21.02,4.93,0.53,2.64,7.266,Alto,462
8,8040,Madera,8099,5.35,6.9,3.25,0.93,4.008,medio,852
8,8041,Maguarichi,425,0.24,0,0.24,0,0.118,Muy Bajo,2252
8,8042,Manuel Benavides,492,9.76,6.5,0.2,2.85,4.715,medio,749
8,8043,Matachí,896,16.41,9.38,1.79,1.56,7.399,Alto,445
8,8044,Matamoros,1220,17.21,8.52,3.61,4.43,8.463,Alto,364
8,8045,Meoqui,9266,7.82,4.18,1.72,1.06,3.725,medio,896
8,8046,Morelos,1911,0.47,0.16,0.78,0,0.365,Muy Bajo,2041
8,8047,Moris,1219,3.2,2.3,0.74,0,1.459,Bajo,1439
8,8048,Namiquipa,6472,6.26,11.08,2.29,2.06,5.217,medio,692
8,8049,Nonoava,724,3.87,4.42,1.38,1.24,2.569,Bajo,1120
8,8050,Nuevo Casas Grandes,14008,6.65,4.12,1.14,1.39,3.262,Bajo,982
8,8051,Ocampo,1651,1.09,1.88,0.73,0,0.894,Muy Bajo,1686
8,8052,Ojinaga,6740,10.28,6.11,2.21,5.39,5.909,medio,613
8,8053,Praxedis G. Guerrero,2287,7.61,7.3,2.97,4.33,5.608,medio,650
8,8054,Riva Palacio,2307,3.94,3.47,1.3,1,2.439,Bajo,1154
8,8055,Rosales,3945,8.47,5.6,0.56,1.6,3.651,medio,909
8,8056,Rosario,670,10,4.63,0.6,0.3,3.768,medio,889
8,8057,San Francisco de Borja,670,8.81,11.34,0.75,0.9,5.373,medio,676
8,8058,San Francisco de Conchos,731,11.63,8.76,2.74,1.09,5.996,medio,604
8,8059,San Francisco del Oro,1593,13.31,5.46,1.32,1,5.003,medio,714
8,8060,Santa Bárbara,2891,9.03,4.98,2.11,1.18,4.294,medio,809
8,8061,Satevó,1312,12.42,9.98,2.52,2.13,6.222,medio,572
8,8062,Saucillo,7898,7.8,5.74,1.49,2.43,4.335,medio,799
8,8063,Temósachic,1768,8.03,6.73,1.81,0.9,4.402,medio,785
8,8064,El Tule,577,24.61,22.36,6.24,1.73,13.89,Muy Alto,83
8,8065,Urique,4473,0.36,0.18,0.04,0,0.149,Muy Bajo,2212
8,8066,Uruachi,1843,2.39,2.44,0.38,0.16,1.366,Bajo,1464
8,8067,Valle de Zaragoza,1489,17.86,10.34,5.31,2.28,8.983,Alto,330
9,9002,Azcapotzalco,114182,1.28,1.15,0.43,0.29,0.727,Muy Bajo,1763
9,9003,Coyoacán,170614,1.83,1.7,0.38,0.4,1.043,Muy Bajo,1613
9,9004,Cuajimalpa de Morelos,35470,1.48,1.19,0.48,0.63,0.978,Muy Bajo,1645
9,9005,Gustavo A. Madero,307520,1.73,1.98,0.59,0.34,1.128,Muy Bajo,1563
9,9006,Iztacalco,104750,1.82,1.7,0.38,0.21,1.048,Muy Bajo,1608
9,9007,Iztapalapa,427592,1.81,1.99,0.4,0.32,1.167,Muy Bajo,1546
9,9008,La Magdalena Contreras,54077,1.65,1.57,0.33,0.35,1.001,Muy Bajo,1634
9,9009,Milpa Alta,22301,1.17,1.11,0.12,0.13,0.614,Muy Bajo,1839
9,9010,Álvaro Obregón,171228,1.49,1.58,0.32,0.28,0.929,Muy Bajo,1668
9,9011,Tláhuac,72446,1.43,1.14,0.3,0.35,0.808,Muy Bajo,1720
9,9012,Tlalpan,146364,1.79,1.64,0.57,0.3,1.089,Muy Bajo,1586
9,9013,Xochimilco,86206,0.89,1.19,0.33,0.2,0.642,Muy Bajo,1819
9,9014,Benito Juárez,118829,2.11,1.04,0.61,0.36,1.031,Muy Bajo,1617
9,9015,Cuauhtémoc,153779,1.99,1.49,0.24,0.29,1.003,Muy Bajo,1633
9,9016,Miguel Hidalgo,97559,2.6,1.05,0.68,0.53,1.22,Bajo,1525
9,9017,Venustiano Carranza,120824,1.37,1.37,0.43,0.17,0.825,Muy Bajo,1710
10,10001,Canatlán,7699,16.72,10.96,0.78,2.01,7.275,Alto,460
10,10002,Canelas,856,7.94,4.56,0.35,1.4,3.496,Bajo,944
10,10003,Coneto de Comonfort,943,30.86,21.21,1.91,5.3,15.27,Muy Alto,49
10,10004,Cuencamé,7607,15.81,13.47,2.98,3.56,9.019,Alto,326
10,10005,Durango,112827,6.09,4.98,1.69,1.27,3.616,Bajo,915
10,10006,General Simón Bolívar,2189,14.66,11.24,1.19,1.23,7.15,Alto,472
10,10007,Gómez Palacio,64143,4.98,2.78,0.69,0.55,2.35,Bajo,1186
10,10008,Guadalupe Victoria,7726,16.97,14.64,8.02,2.74,10.528,Alto,218
10,10009,Guanaceví,2566,11.11,6.59,0.55,1.05,4.253,medio,814
10,10010,Hidalgo,1110,24.14,16.58,6.13,4.32,12.773,Muy Alto,123
10,10011,Indé,1498,37.05,24.03,4.54,2.47,16.217,Muy Alto,33
10,10012,Lerdo,25889,4.17,3.57,0.7,0.73,2.329,Bajo,1192
10,10013,Mapimí,5131,9.28,5.5,0.95,0.76,4.351,medio,793
10,10014,Mezquital,6200,20.92,32.74,10.15,2.35,16.404,Muy Alto,27
10,10015,Nazas,2772,21.28,11.47,2.42,1.91,9.295,Alto,303
10,10016,Nombre de Dios,4135,15.36,8.32,1.5,2.81,7.076,Alto,476
10,10017,Ocampo,2691,19.1,7.99,0.45,2.19,7.281,Alto,459
10,10018,El Oro,3193,30.19,13.03,0.72,3.1,12.666,Muy Alto,127
10,10019,Otáez,939,12.35,8.2,1.06,2.45,5.999,medio,603
10,10020,Pánuco de Coronado,2980,22.15,26.81,8.46,2.89,15.307,Muy Alto,48
10,10021,Peñón Blanco,2268,12.92,7.72,5.07,2.25,7.071,Alto,478
10,10022,Poanas,5646,26.53,22.94,4.48,4.96,15.048,Muy Alto,57
10,10023,Pueblo Nuevo,9207,1.02,0.38,0,0.08,0.381,Muy Bajo,2026
10,10024,Rodeo,2778,28.33,19.62,1.94,2.52,13.237,Muy Alto,105
10,10025,San Bernardo,1092,9.62,7.6,0,1.28,4.595,medio,761
10,10026,San Dimas,4197,2.64,1.12,0.02,0.5,1.143,Muy Bajo,1558
10,10027,San Juan de Guadalupe,1379,21.25,14.43,1.38,3.19,10.072,Alto,248
10,10028,San Juan del Río,2573,22.89,21.96,1.75,1.79,12.236,Muy Alto,147
10,10029,San Luis del Cordero,505,25.54,18.02,2.18,4.16,12.549,Muy Alto,131
10,10030,San Pedro del Gallo,450,19.78,19.56,3.11,4,11.579,Muy Alto,174
10,10031,Santa Clara,1573,28.42,27.4,4.83,2.8,16.232,Muy Alto,32
10,10032,Santiago Papasquiaro,9747,16.68,10.6,2.67,4.83,8.803,Alto,345
10,10033,Súchil,1617,15.15,10.82,1.11,3.53,7.709,Alto,425
10,10034,Tamazula,4612,5.36,4.88,1.19,1.04,3.041,Bajo,1012
10,10035,Tepehuanes,3697,25.29,9.47,2.14,5.11,10.553,Alto,214
10,10036,Tlahualilo,4598,11.68,8.57,0.89,1,5.662,medio,640
10,10037,Topia,1671,9.99,10.41,1.02,1.97,5.931,medio,610
10,10038,Vicente Guerrero,4603,15.95,9.43,3.24,1.54,7.82,Alto,417
10,10039,Nuevo Ideal,5935,20.62,13.48,1.18,3.77,9.659,Alto,266
11,11001,Abasolo,16224,17.09,18.95,5.31,4.31,11.821,Muy Alto,169
11,11002,Acámbaro,26367,20.98,13.8,5.3,6.05,12.064,Muy Alto,159
11,11003,San Miguel de Allende,27402,6.57,9.18,2.46,1.14,5.023,medio,711
11,11004,Apaseo el Alto,12188,11.7,16.31,2.43,1.29,7.957,Alto,409
11,11005,Apaseo el Grande,15630,9.24,8.91,0.97,1.76,5.693,medio,637
11,11006,Atarjea,1147,9.59,14.04,1.92,0.96,6.811,Alto,506
11,11007,Celaya,90020,7.73,8.23,1.94,1.2,5.062,medio,707
11,11008,Manuel Doblado,7914,22.42,24.02,8.04,3.6,14.898,Muy Alto,59
11,11009,Comonfort,12970,16.38,21.76,3.62,1.38,11.488,Alto,181
11,11010,Coroneo,2338,10.14,14.2,1.92,1.45,6.338,medio,556
