hts8	year	brief_description	quantity_1_code	quantity_2_code	wto_binding_code	mfn_rate_type_code	mfn_ave	mfn_ad_val_rate	mfn_specific_rate	mfn_other_rate	gsp_indicator	gsp_ctry_excluded	gsp_ctry_excluded2	gsp_ctry_excluded3	gsp_ctry_excluded4	apta_indicator	civil_air_indicator	nafta_canada_ind	canada_rate_type_code	canada_ave	canada_ad_val_rate	canada_specific_rate	canada_other_rate	nafta_mexico_ind	mexico_rate_type_code	mexico_ave	mexico_ad_val_rate	mexico_specific_rate	mexico_other_rate	cbi_indicator	cbi_rate_type_code	cbi_ave	cbi_ad_val_rate	cbi_specific_rate	cbi_other_rate	agoa_indicator	cbtpa_indicator	cbtpa_rate_type_code	cbtpa_ave	cbtpa_ad_val_rate	cbtpa_specific_rate	cbtpa_other_rate	israel_fta_indicator	israel_rate_type_code	israel_ave	israel_ad_val_rate	israel_specific_rate	israel_other_rate	atpa_indicator	atpa_rate_type_code	atpa_ave	atpa_ad_val_rate	atpa_specific_rate	atpa_other_rate	pharmaceutical_ind	dyes_indicator	col2_rate_type_code	col2_ave	col2_ad_val_rate	col2_specific_rate	col2_other_rate	begin_effect_date	end_effective_date	additional_tariff_num_ind	unitvalue
1039100	2001	"Live swine, other than purebred breeding swine, weighing less than 50 kg each"	"NO"	"KG"	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	2	.001364	0	.044	0	"9/3/95"	"12/31/2100"		32.2598
1039200	2001	"Live swine, other than purebred breeding swine, weighing 50 kg or more"	"NO"	"KG"	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	2	.000391	0	.044	0	"9/3/95"	"12/31/2100"		112.497
1041000	2001	"Live sheep"	"NO"	"KG"	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	1	.031644	0	3	0	"6/1/96"	"12/31/2100"		94.8037
1042000	2001	"Live goats"	"NO"	""	"B"	1	.007399	0	.68	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.032643	0	3	0	"12/21/00"	"9/30/08"		91.9045
1051100	2001	"Live chickens weighing not over 185 g each"	"NO"	""	"B"	1	.014268	0	.009	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.063412	0	.04	0	"12/21/00"	"9/30/08"		.630795
1051200	2001	"Live turkeys weighing not more than over 185 g each"	"NO"	""	"B"	1	.004259	0	.009	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.018927	0	.04	0	"12/21/00"	"9/30/08"		2.11337
1051900	2001	"Live ducks, geese and guineas, weighing not more than 185 g each"	"NO"	""	"B"	1	.018602	0	.009	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.082675	0	.04	0	"12/21/00"	"9/30/08"		.483825
1059200	2001	"Live chickens weighing more than 185 g but not not more than 2000 g each"	"NO"	"KG"	"B"	2	.003368	0	.02	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	2	.029641	0	.176	0	"12/21/00"	"9/30/08"		5.93775
1059300	2001	"Live chickens weighing more than 2000 g each"	"NO"	"KG"	"B"	2	.00722	0	.02	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	2	.063537	0	.176	0	"12/21/00"	"9/30/08"		2.77005
1059900	2001	"Live ducks, geese, turkeys and guineas, weighing over 185 g each"	"NO"	"KG"	"B"	2	.00228	0	.02	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	2	.02006	0	.176	0	"12/21/00"	"9/30/08"		8.77354
1060010	2001	"Live birds, other than poultry"	"NO"	""	"B"	7	.018	.018	0	0	"A"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		""	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"1/1/00"	"12/31/2100"		6.39349
1060030	2001	"Live foxes"	"NO"	""	"B"	7	.048	.048	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.15	.15	0	0	"12/21/00"	"9/30/08"		650
1060050	2001	"Live animals other than horses, asses, mules, hinnies, bovines, swine, sheep, goats, foxes or birds"	"NA"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	7	.15	.15	0	0	"1/1/89"	"12/31/2100"		168.709
2011005	2001	"Bovine carcasses and halves, fresh or chld., descr. in gen. note 15 of the HTS"	"KG"	""	"B"	1	.026998	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.080995	0	.132	0	"12/21/00"	"9/30/08"		1.62972
2011010	2001	"Bovine carcasses and halves, fresh or chld., descr. in add. US note 3 to Ch. 2"	"KG"	""	"B"	1	.010311	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.030934	0	.132	0	"12/21/00"	"9/30/08"		4.26711
2011050	2001	"Bovine carcasses and halves, fresh or chld., other than descr. in gen. note 15 or add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.264	.264	0	0	""	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		""		.264				""	""		.264				""		.264				""		.264				""	""	7	.311	.311	0	0	"1/1/00"	"12/31/2100"		4.01042
2012002	2001	"High-qual. beef cuts w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"	"KG"	""	"B"	7	.04	.04	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		3.47169
2012004	2001	"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS"	"KG"	""	"B"	7	.1	.1	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		
2012006	2001	"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in gen. note 15 of the HTS"	"KG"	""	"B"	1	.007227	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.021681	0	.132	0	"12/21/00"	"9/30/08"		6.08837
2012010	2001	"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.04	.04	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		3.46884
2012030	2001	"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.1	.1	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		6.64468
2012050	2001	"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	1	.016562	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.049685	0	.132	0	"12/21/00"	"9/30/08"		2.65673
2012080	2001	"Bovine meat cuts, w/bone in, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.264	.264	0	0	""	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		""		.264				""	""		.264				""		.264				""		.264				""	""	7	.331	.331	0	0	"1/1/00"	"12/31/2100"		4.2874
2013002	2001	"High-qual. beef cuts, boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"	"KG"	""	"B"	7	.04	.04	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		5.51479
2013004	2001	"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in gen. note 15 of the HTS"	"KG"	""	"B"	7	.1	.1	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		3.79742
2013006	2001	"Bovine meat cuts, boneless, not processed, fresh or chld., descr in gen. note 15 of the HTS"	"KG"	""	"B"	1	.008865	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.026596	0	.132	0	"12/21/00"	"9/30/08"		4.96313
2013010	2001	"High-qual. beef cuts, boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.04	.04	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		10.5071
2013030	2001	"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.1	.1	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		2.2226
2013050	2001	"Bovine meat cuts, boneless, not processed, fresh or chld., descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	1	.012443	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.037328	0	.132	0	"12/21/00"	"9/30/08"		3.53623
2013080	2001	"Bovine meat cuts, boneless, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.264	.264	0	0	""	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		""		.264				""	""		.264				""		.264				""		.264				""	""	7	.311	.311	0	0	"1/1/00"	"12/31/2100"		4.53854
2021005	2001	"Bovine carcasses and halves, frozen, descr. in gen. note 15 of the HTS"	"KG"	""	"B"	1	.024999	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.074996	0	.132	0	"12/21/00"	"9/30/08"		1.7601
2021010	2001	"Bovine carcasses and halves, frozen, descr. in add. US note 3 to Ch. 2"	"KG"	""	"B"	1	.027795	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.083385	0	.132	0	"12/21/00"	"9/30/08"		1.58302
2021050	2001	"Bovine carcasses and halves, frozen, other than descr. in gen. note 15 or add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.264	.264	0	0	""	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		""		.264				""	""		.264				""		.264				""		.264				""	""	7	.311	.311	0	0	"1/1/00"	"12/31/2100"		6.12979
2022002	2001	"High-qual. beef cuts w/bone in, processed, frozen, descr in gen. note 15 of the HTS"	"KG"	""	"B"	7	.04	.04	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		
2022004	2001	"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in gen. note 15 of the HTS"	"KG"	""	"B"	7	.1	.1	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		9.76291
2022006	2001	"Bovine meat cuts, w/bone in, not processed, frozen, descr in gen. note 15 of the HTS"	"KG"	""	"B"	1	.013291	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.039873	0	.132	0	"12/21/00"	"9/30/08"		3.31051
2022010	2001	"High-qual. beef cuts, w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.04	.04	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		4.88567
2022030	2001	"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.1	.1	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		9.62748
2022050	2001	"Bovine meat cuts, w/bone in, not processed, frozen, descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	1	.018146	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.054439	0	.132	0	"12/21/00"	"9/30/08"		2.42474
2022080	2001	"Bovine meat cuts, w/bone in, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.264	.264	0	0	""	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		""		.264				""	""		.264				""		.264				""		.264				""	""	7	.311	.311	0	0	"1/1/00"	"12/31/2100"		6.9347
2023002	2001	"High-qual. beef cuts, boneless, processed, frozen, descr in gen. note 15 of the HTS"	"KG"	""	"B"	7	.04	.04	0	0	"A"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		""	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"1/1/95"	"12/31/2100"		6.54635
2023004	2001	"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in gen. note 15 of the HTS"	"KG"	""	"B"	7	.1	.1	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		2.0294
2023006	2001	"Bovine meat cuts, boneless, not processed, frozen, descr in gen. note 15 of the HTS"	"KG"	""	"B"	1	.023328	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.069984	0	.132	0	"12/21/00"	"9/30/08"		1.88614
2023010	2001	"High-qual. beef cuts, boneless, processed, frozen, descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.04	.04	0	0	"A*"	"AR"	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		""	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"7/1/98"	"12/31/2100"		13.1213
2023030	2001	"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.1	.1	0	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	7	.2	.2	0	0	"12/21/00"	"9/30/08"		2.24026
2023050	2001	"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2"	"KG"	""	"B"	1	.020922	0	.044	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E*"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.062766	0	.132	0	"12/21/00"	"9/30/08"		2.10304
2023080	2001	"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2"	"KG"	""	"B"	7	.264	.264	0	0	""	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		""		.264				""	""		.264				""		.264				""		.264				""	""	7	.311	.311	0	0	"1/1/00"	"12/31/2100"		2.68084
2031100	2001	"Carcasses and half-carcasses of swine, fresh or chilled"	"KG"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	1	.030931	0	.055	0	"6/12/97"	"12/31/2100"		1.77813
2031210	2001	"Fresh or chilled retail cuts of ham, shoulders and cuts thereof, with bone in"	"KG"	""	"B"	1	.006681	0	.014	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.034358	0	.072	0	"12/21/00"	"9/30/08"		2.09559
2031290	2001	"Fresh or chilled hams, shoulders and cuts thereof, with bone in, other than processed"	"KG"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	1	.033713	0	.055	0	"6/12/97"	"12/31/2100"		1.63143
2031920	2001	"Meat of swine nesi, retail cuts, fresh or chilled"	"KG"	""	"B"	1	.004417	0	.014	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.022717	0	.072	0	"12/21/00"	"9/30/08"		3.16941
2031940	2001	"Meat of swine, nesi, non retail cuts, fresh or chilled"	"KG"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	1	.023734	0	.055	0	"6/12/97"	"12/31/2100"		2.31739
2032100	2001	"Carcasses and half-carcasses of swine, frozen"	"KG"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	1	.009035	0	.055	0	"6/12/97"	"12/31/2100"		6.08743
2032210	2001	"Frozen retail cuts of hams, shoulders and cuts thereof, with bone in"	"KG"	""	"B"	1	.007559	0	.014	0	"A"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		""	""		0				"IL"		0				"J"		0	0	0		""	""	1	.038874	0	.072	0	"1/1/00"	"12/31/2100"		1.85212
2032290	2001	"Frozen hams, shoulders and cuts thereof, with bone in, other than retail cuts"	"KG"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	1	.032687	0	.055	0	"6/12/97"	"12/31/2100"		1.68261
2032920	2001	"Frozen retail cuts of meat of swine, nesi"	"KG"	""	"B"	1	.002872	0	.014	0	"A"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		""	""		0				"IL"		0				"J"		0	0	0		""	""	1	.014771	0	.072	0	"1/1/00"	"12/31/2100"		4.87457
2032940	2001	"Frozen meat of swine, other than retail cuts, nesi"	"KG"	""	"B"	0	0	0	0	0	""	""	""	""	""	""	""	""		0				""		0				""		0				""	""		0				""		0				""		0				""	""	1	.017511	0	.055	0	"6/12/97"	"12/31/2100"		3.14081
2041000	2001	"Carcasses and half-carcasses of lamb, fresh or chilled"	"KG"	""	"B"	1	.003283	0	.007	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.072215	0	.154	0	"12/21/00"	"9/30/08"		2.13251
2042100	2001	"Carcasses and half-carcasses of sheep, other than lamb, fresh or chilled"	"KG"	""	"B"	1	.017427	0	.028	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.068465	0	.11	0	"12/21/00"	"9/30/08"		1.60666
2042220	2001	"Cuts of lamb meat with bone in, fresh or chilled"	"KG"	""	"B"	1	.001322	0	.007	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.029089	0	.154	0	"12/21/00"	"9/30/08"		5.29411
2042240	2001	"Cuts of sheep meat with bone in, nesi, fresh or chilled"	"KG"	""	"B"	1	.008636	0	.028	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.033927	0	.11	0	"12/21/00"	"9/30/08"		3.24221
2042320	2001	"Boneless meat of lamb, fresh or chilled"	"KG"	""	"B"	1	.001739	0	.007	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.03825	0	.154	0	"12/21/00"	"9/30/08"		4.0261
2042340	2001	"Boneless meat of sheep, nesi, fresh or chilled"	"KG"	""	"B"	1	.002545	0	.028	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.009999	0	.11	0	"12/21/00"	"9/30/08"		11.0013
2043000	2001	"Carcasses and half-carcasses of lamb, frozen"	"KG"	""	"B"	1	.003541	0	.007	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.077902	0	.154	0	"12/21/00"	"9/30/08"		1.97685
2044100	2001	"Carcasses and half-carcasses of sheep, other than lamb, frozen"	"KG"	""	"B"	1	.023297	0	.028	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.091526	0	.11	0	"12/21/00"	"9/30/08"		1.20185
2044220	2001	"Cuts of lamb meat with bone in, frozen"	"KG"	""	"B"	1	.001363	0	.007	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.029994	0	.154	0	"12/21/00"	"9/30/08"		5.1343
2044240	2001	"Cuts of sheep meat with bone in, nesi, frozen"	"KG"	""	"B"	1	.019863	0	.028	0	"A+"	""	""	""	""	""	""	"CA"		0				"MX"	0	0	0	0		"E"		0	0	0		"D"	""		0				"IL"		0				"J"		0	0	0		""	""	1	.078033	0	.11	0	"12/21/00"	"9/30/08"		1.40966
