1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001
				Bulgaria	Bulgaria	Bulgaria	Bulgaria	Bulgaria	Bulgaria	Bulgaria	Bulgaria	Bulgaria
Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso
Burma												
Burundi	Burundi	Burundi	Burundi	Burundi	Burundi	Burundi	Burundi	Burundi	Burundi	Burundi	Burundi	Burundi
								Cambodia	Cambodia	Cambodia	Cambodia	Cambodia
Cameroon	Cameroon	Cameroon	Cameroon	Cameroon	Cameroon	Cameroon	Cameroon	Cameroon	Cameroon	Cameroon	Cameroon	Cameroon
Cape Verde	Cape Verde	Cape Verde	Cape Verde	Cape Verde	Cape Verde	Cape Verde	Cape Verde	Cape Verde	Cape Verde	Cape Verde	Cape Verde	Cape Verde
Cayman Islands	Cayman Islands	Cayman Islands	Cayman Islands	Cayman Islands	Cayman Islands	Cayman Islands	Cayman Islands	Cayman Is				
Central African Republic			Central African Republic	Central African Republic	Central African Republic	Central African Republic	Central African Republic	Cen African Rep	Cen African Rep	Cen African Rep	Cen African Rep	Cen African Rep
Chad	Chad	Chad	Chad	Chad	Chad	Chad	Chad	Chad	Chad	Chad	Chad	Chad
			Chile	Chile	Chile	Chile	Chile	Chile	Chile	Chile	Chile	Chile
Christmas Island (Australia)	Christmas Island (Australia)	Christmas Island (Australia)	Christmas Island (Australia)	Christmas Island (Australia)	Christmas Island (Australia)	Christmas Island (Australia)	Christmas Island (Australia)	Christmas Is	Christmas Is	Christmas Is	Christmas Is	Christmas Is
Cocos (Keeling) Islands	Cocos (Keeling) Islands	Cocos (Keeling) Islands	Cocos (Keeling) Islands	Cocos (Keeling) Islands	Cocos (Keeling) Islands	Cocos (Keeling) Islands	Cocos (Keeling) Islands	Cocos Is	Cocos Is	Cocos Is	Cocos Is	Cocos Is
Colombia	Colombia	Colombia	Colombia	Colombia	Colombia	Colombia	Colombia	Colombia	Colombia	Colombia	Colombia	Colombia
Comoros	Comoros	Comoros	Comoros	Comoros	Comoros	Comoros	Comoros	Comoros	Comoros	Comoros	Comoros	Comoros
Congo	Congo	Congo	Congo	Congo	Congo	Congo	Congo	Congo (ROC)	Congo (ROC)	Congo (ROC)	Congo (ROC)	Congo (ROC)
Cook Islands	Cook Islands	Cook Islands	Cook Islands	Cook Islands	Cook Islands	Cook Islands	Cook Islands	Cook Is	Cook Is	Cook Is	Cook Is	Cook Is
Costa Rica	Costa Rica	Costa Rica	Costa Rica	Costa Rica	Costa Rica	Costa Rica	Costa Rica	Costa Rica	Costa Rica	Costa Rica	Costa Rica	Costa Rica
Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire
				Croatia	Croatia	Croatia	Croatia	Croatia	Croatia	Croatia	Croatia	Croatia
Cyprus	Cyprus	Cyprus	Cyprus	Cyprus	Cyprus	Cyprus	Cyprus	Cyprus				
			Czechoslovakia	Czech Republic	Czech Republic	Czech Republic	Czech Republic	Czech Republic	Czech Republic	Czech Republic	Czech Republic	Czech Republic
Djibouti	Djibouti	Djibouti	Djibouti	Djibouti	Djibouti	Djibouti	Djibouti	Djibouti	Djibouti	Djibouti	Djibouti	Djibouti
Dominica	Dominica	Dominica	Dominica	Dominica	Dominica	Dominica	Dominica	Dominica Is	Dominica Is	Dominica Is	Dominica Is	Dominica Is
Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic	Dominican Rep	Dominican Rep	Dominican Rep	Dominican Rep	Dominican Rep
Ecuador	Ecuador	Ecuador	Ecuador	Ecuador	Ecuador	Ecuador	Ecuador	Ecuador	Ecuador	Ecuador	Ecuador	Ecuador
Egypt	Egypt	Egypt	Egypt	Egypt	Egypt	Egypt	Egypt	Egypt	Egypt	Egypt	Egypt	Egypt
El Salvador	El Salvador	El Salvador	El Salvador	El Salvador	El Salvador	El Salvador	El Salvador	El Salvador	El Salvador	El Salvador	El Salvador	El Salvador
Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Eq Guinea	Eq Guinea	Eq Guinea	Eq Guinea	Eq Guinea
											Eritrea	Eritrea
				Estonia	Estonia	Estonia	Estonia	Estonia	Estonia	Estonia	Estonia	Estonia
					Ethiopia	Ethiopia	Ethiopia	Ethiopia	Ethiopia	Ethiopia	Ethiopia	Ethiopia
Falkland Islands 	Falkland Islands	Falkland Islands (Islas Malvinas)	Falkland Islands 	Falkland Islands	Falkland Islands	Falkland Islands	Falkland Islands	Falkland Is	Falkland Is	Falkland Is	Falkland Is	Falkland Is
Fiji	Fiji	Fiji	Fiji	Fiji	Fiji	Fiji	Fiji	Fiji	Fiji	Fiji	Fiji	Fiji
French Polynesia	French Polynesia	French Polynesia	French Polynesia	French Polynesia	French Polynesia	French Polynesia	French Polynesia	Fr Polynesia	Fr Polynesia	Fr Polynesia	Fr Polynesia	Fr Polynesia
										Gabon	Gabon	Gabon
"Gambia, The"	"Gambia, The"	"Gambia, The"	"Gambia, The"	"Gambia, The"	"Gambia, The"	"Gambia, The"	"Gambia, The"	Gambia	Gambia	Gambia	Gambia	Gambia
								Gaza Strip	Gaza Strip	Gaza Strip	Gaza Strip	Gaza Strip
												Georgia
Ghana	Ghana	Ghana	Ghana	Ghana	Ghana	Ghana	Ghana	Ghana	Ghana	Ghana	Ghana	Ghana
Gibraltar	Gibraltar	Gibraltar	Gibraltar	Gibraltar	Gibraltar	Gibraltar	Gibraltar	Gibraltar	Gibraltar	Gibraltar	Gibraltar	Gibraltar
Greenland	Greenland	Greenland	Greenland	Greenland	Greenland	Greenland	Greenland	Greenland				
Grenada	Grenada	Grenada	Grenada	Grenada	Grenada	Grenada	Grenada	Grenada Is	Grenada Is	Grenada Is	Grenada Is	Grenada Is
Guatemala	Guatemala	Guatemala	Guatemala	Guatemala	Guatemala	Guatemala	Guatemala	Guatemala	Guatemala	Guatemala	Guatemala	Guatemala
Guinea	Guinea	Guinea	Guinea	Guinea	Guinea	Guinea	Guinea	Guinea	Guinea	Guinea	Guinea	Guinea
Guinea Bissau	Guinea Bissau	Guinea Bissau	Guinea Bissau	Guinea Bissau	Guinea Bissau	Guinea Bissau	Guinea Bissau	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau
Guyana	Guyana	Guyana	Guyana	Guyana	Guyana	Guyana	Guyana	Guyana	Guyana	Guyana	Guyana	Guyana
Haiti	Haiti	Haiti	Haiti	Haiti	Haiti	Haiti	Haiti	Haiti	Haiti	Haiti	Haiti	Haiti
Heard Island and McDonald Islands	Heard Island and McDonald Islands	Heard Island and McDonald Islands	Heard Island and McDonald Islands	Heard Island and McDonald Islands	Heard Island and McDonald Islands	Heard Island and McDonald Islands	Heard Island and McDonald Islands	Heard & McDn Is	Heard & McDn Is	Heard & McDn Is	Heard & McDn Is	Heard & McDn Is
Honduras	Honduras	Honduras	Honduras	Honduras	Honduras	Honduras	Honduras	Honduras	Honduras	Honduras	Honduras	Honduras
		Hungary	Hungary	Hungary	Hungary	Hungary	Hungary	Hungary	Hungary	Hungary	Hungary	Hungary
India	India	India	India	India	India	India	India	India	India	India	India	India
Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia
Israel	Israel	Israel	Israel	Israel	Israel	Israel						
Jamaica	Jamaica	Jamaica	Jamaica	Jamaica	Jamaica	Jamaica	Jamaica	Jamaica	Jamaica	Jamaica	Jamaica	Jamaica
Jordan	Jordan	Jordan	Jordan	Jordan	Jordan	Jordan	Jordan	Jordan	Jordan	Jordan	Jordan	Jordan
						Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan
Kenya	Kenya	Kenya	Kenya	Kenya	Kenya	Kenya	Kenya	Kenya	Kenya	Kenya	Kenya	Kenya
Kiribati	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati	Kiribati
						Kyrgyzstan	Kyrgyzstan	Kyrgystan	Kyrgystan	Kyrgystan	Kyrgystan	Kyrgystan
				Latvia	Latvia	Latvia	Latvia	Latvia	Latvia	Latvia	Latvia	Latvia
Lebanon	Lebanon	Lebanon	Lebanon	Lebanon	Lebanon	Lebanon	Lebanon	Lebanon	Lebanon	Lebanon	Lebanon	Lebanon
Lesotho	Lesotho	Lesotho	Lesotho	Lesotho	Lesotho	Lesotho	Lesotho	Lesotho	Lesotho	Lesotho	Lesotho	Lesotho
Liberia	Liberia											
				Lithuania	Lithuania	Lithuania	Lithuania	Lithuania	Lithuania	Lithuania	Lithuania	Lithuania
Macau	Macau	Macau	Macau	Macau	Macau	Macau	Macau	Macao				
				"Macedonia, Former Yugoslav Republic of"	"Macedonia, Former Yugoslav Republic of"	"Macedonia, Former Yugoslav Republic of"	"Macedonia, Former Yugoslav Republic of"	Macedonia	Macedonia	Macedonia	Macedonia	Macedonia
Madagascar	Madagascar	Madagascar	Madagascar	Madagascar	Madagascar	Madagascar	Madagascar	Madagascar	Madagascar	Madagascar	Madagascar	Madagascar
Malawi	Malawi	Malawi	Malawi	Malawi	Malawi	Malawi	Malawi	Malawi	Malawi	Malawi	Malawi	Malawi
Malaysia	Malaysia	Malaysia	Malaysia	Malaysia	Malaysia	Malaysia	Malaysia					
Maldives 	Maldives 	Maldives 	Maldives 	Maldives 	Maldives 	Maldives 						
Mali	Mali	Mali	Mali	Mali	Mali	Mali	Mali	Mali	Mali	Mali	Mali	Mali
Malta	Malta	Malta	Malta	Malta	Malta	Malta	Malta	Malta & Gozo	Malta & Gozo	Malta & Gozo	Malta & Gozo	Malta & Gozo
"Marshall Islands, Republic of"	"Marshall Islands, Republic of"											
Mauritania	Mauritania	Mauritania	Mauritania	Mauritania						Mauritania	Mauritania	Mauritania
Mauritius	Mauritius	Mauritius	Mauritius	Mauritius	Mauritius	Mauritius	Mauritius	Mauritius	Mauritius	Mauritius	Mauritius	Mauritius
Mexico	Mexico	Mexico	Mexico	Mexico	Mexico							
"Micronesia, Federated States of "	"Micronesia, Federated States of"											
							Moldova	Moldova	Moldova	Moldova	Moldova	Moldova
										Mongolia	Mongolia	Mongolia
Montserrat	Montserrat	Montserrat	Montserrat	Montserrat	Montserrat	Montserrat	Montserrat	Montserrat Is	Montserrat Is	Montserrat Is	Montserrat Is	Montserrat Is
Morocco	Morocco	Morocco	Morocco	Morocco	Morocco	Morocco	Morocco	Morocco	Morocco	Morocco	Morocco	Morocco
Mozambique	Mozambique	Mozambique	Mozambique	Mozambique	Mozambique	Mozambique	Mozambique	Mozambique	Mozambique	Mozambique	Mozambique	Mozambique
			Namibia	Namibia	Namibia	Namibia	Namibia	Namibia	Namibia	Namibia	Namibia	Namibia
Nepal	Nepal	Nepal	Nepal	Nepal	Nepal	Nepal	Nepal	Nepal	Nepal	Nepal	Nepal	Nepal
Netherlands Antilles	Netherlands Antilles	Netherlands Antilles	Netherlands Antilles	Netherlands Antilles	Netherlands Antilles	Netherlands Antilles	Netherlands Antilles	Netherlands Ant				
New Caledonia	New Caledonia	New Caledonia	New Caledonia	New Caledonia	New Caledonia	New Caledonia	New Caledonia	New Caledonia	New Caledonia	New Caledonia	New Caledonia	New Caledonia
Niger	Niger	Niger	Niger	Niger	Niger	Niger	Niger	Niger	Niger	Niger	Niger	Niger
											Nigeria	Nigeria
Niue	Niue	Niue	Niue	Niue	Niue	Niue	Niue	Niue	Niue	Niue	Niue	Niue
Norfolk Island	Norfolk Island	Norfolk Island	Norfolk Island 	Norfolk Island	Norfolk Island	Norfolk Island	Norfolk Island	Norfolk Is	Norfolk Is	Norfolk Is	Norfolk Is	Norfolk Is
Oman	Oman	Oman	Oman	Oman	Oman	Oman	Oman	Oman	Oman	Oman	Oman	Oman
Pakistan	Pakistan	Pakistan	Pakistan	Pakistan	Pakistan	Pakistan	Pakistan	Pakistan	Pakistan	Pakistan	Pakistan	Pakistan
		Panama	Panama	Panama	Panama	Panama	Panama	Panama	Panama	Panama	Panama	Panama
Papua New Guinea	Papua New Guinea	Papua New Guinea	Papua New Guinea	Papua New Guinea	Papua New Guinea	Papua New Guinea	Papua New Guinea	Papua New Guin	Papua New Guin	Papua New Guin	Papua New Guin	Papua New Guin
			Paraguay	Paraguay	Paraguay	Paraguay	Paraguay	Paraguay	Paraguay	Paraguay	Paraguay	Paraguay
Peru	Peru	Peru	Peru	Peru	Peru	Peru	Peru	Peru	Peru	Peru	Peru	Peru
Philippines	Philippines	Philippines	Philippines	Philippines	Philippines	Philippines	Philippines	Philippines	Philippines	Philippines	Philippines	Philippines
Pitcairn Islands	Pitcairn Islands	Pitcairn Islands	Pitcairn Islands	Pitcairn Islands	Pitcairn Islands	Pitcairn Islands	Pitcairn Islands	Pitcairn Is	Pitcairn Is	Pitcairn Is	Pitcairn Is	Pitcairn Is
		Poland	Poland	Poland	Poland	Poland	Poland	Poland	Poland	Poland	Poland	Poland
						Romania	Romania	Romania	Romania	Romania	Romania	Romania
					Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia
Rwanda	Rwanda	Rwanda	Rwanda	Rwanda	Rwanda	Rwanda	Rwanda	Rwanda	Rwanda	Rwanda	Rwanda	Rwanda
Saint Christopher and Nevis	St. Kitts and Nevis	St. Kitts and Nevis	St. Kitts and Nevis	St. Kitts and Nevis	St. Kitts and Nevis	St. Kitts and Nevis	St. Kitts and Nevis	St Kitts-Nevis	St Kitts-Nevis	St Kitts-Nevis	St Kitts-Nevis	St Kitts-Nevis
Saint Helena	Saint Helena	Saint Helena	Saint Helena	Saint Helena	Saint Helena	Saint Helena	Saint Helena	St Helena	St Helena	St Helena	St Helena	St Helena
Saint Lucia	Saint Lucia	Saint Lucia	Saint Lucia	Saint Lucia	Saint Lucia	Saint Lucia	Saint Lucia	St Lucia Is	St Lucia Is	St Lucia Is	St Lucia Is	St Lucia Is
Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines	Saint Vincent and  the Grenadines	Saint Vincent and the Grenadines	St Vinc & Gren	St Vinc & Gren	St Vinc & Gren	St Vinc & Gren	St Vinc & Gren
Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	Sao Tome & Prin	Sao Tome & Prin	Sao Tome & Prin	Sao Tome & Prin	Sao Tome & Prin
Senegal	Senegal	Senegal	Senegal	Senegal	Senegal	Senegal	Senegal	Senegal	Senegal	Senegal	Senegal	Senegal
Seychelles	Seychelles	Seychelles	Seychelles	Seychelles	Seychelles	Seychelles	Seychelles	Seychelles	Seychelles	Seychelles	Seychelles	Seychelles
Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone	Sierra Leone
				Slovakia	Slovakia	Slovakia	Slovakia	Slovakia	Slovakia	Slovakia	Slovakia	Slovakia
				Slovenia	Slovenia	Slovenia	Slovenia	Slovenia	Slovenia	Slovenia	Slovenia	Slovenia
Solomon Islands	Solomon Islands	Solomon Islands	Solomon Islands	Solomon Islands	Solomon Islands	Solomon Islands	Solomon Islands	Solomon Is	Solomon Is	Solomon Is	Solomon Is	Solomon Is
Somalia	Somalia	Somalia	Somalia	Somalia	Somalia	Somalia	Somalia	Somalia	Somalia	Somalia	Somalia	Somalia
						South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa
Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka	Sri Lanka
Sudan	Sudan	Sudan										
Suriname	Suriname	Suriname	Suriname	Suriname	Suriname	Suriname	Suriname	Suriname	Suriname	Suriname	Suriname	Suriname
Swaziland	Swaziland	Swaziland	Swaziland	Swaziland	Swaziland	Swaziland	Swaziland	Swaziland	Swaziland	Swaziland	Swaziland	Swaziland
Syria	Syria	Syria	"Syria (pre August 16, 1992)"									
Tanzania	Tanzania	Tanzania	Tanzania	Tanzania	Tanzania	Tanzania	Tanzania	Tanzania	Tanzania	Tanzania	Tanzania	Tanzania
Thailand	Thailand	Thailand	Thailand	Thailand	Thailand	Thailand	Thailand	Thailand	Thailand	Thailand	Thailand	Thailand
Togo	Togo	Togo	Togo	Togo	Togo	Togo	Togo	Togo	Togo	Togo	Togo	Togo
Tokelau	Tokelau	Tokelau	Tokelau	Tokelau	Tokelau	Tokelau	Tokelau	Tokelau Is	Tokelau Is	Tokelau Is	Tokelau Is	Tokelau Is
Tonga	Tonga	Tonga	Tonga	Tonga	Tonga	Tonga	Tonga	Tonga	Tonga	Tonga	Tonga	Tonga
Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	Trin & Tobago	Trin & Tobago	Trin & Tobago	Trin & Tobago	Trin & Tobago
Trust Territory of the Pacific Islands (Palau)	Trust Territory of the Pacific Islands (Palau)	Trust Territory of the Pacific Islands (Palau)	Trust Territory of the Pacific Islands (Palau)	Trust Territory of the Pacific Islands (Palau)	Trust Territory of the Pacific Islands (Palau)							
Tunisia	Tunisia	Tunisia	Tunisia	Tunisia	Tunisia	Tunisia	Tunisia	Tunisia	Tunisia	Tunisia	Tunisia	Tunisia
Turkey	Turkey	Turkey	Turkey	Turkey	Turkey	Turkey	Turkey	Turkey	Turkey	Turkey	Turkey	Turkey
Turks and Caicos Islands	Turks and Caicos Islands	Turks and Caicos Islands	Turks and Caicos Islands	Turks and Caicos Islands	Turks and Caicos Islands	Turks and Caicos Islands	Turks and Caicos Islands	Turks & Caic Is	Turks & Caic Is	Turks & Caic Is	Turks & Caic Is	Turks & Caic Is
Tuvalu	Tuvalu	Tuvalu	Tuvalu	Tuvalu	Tuvalu	Tuvalu	Tuvalu	Tuvalu	Tuvalu	Tuvalu	Tuvalu	Tuvalu
Uganda	Uganda	Uganda	Uganda	Uganda	Uganda	Uganda	Uganda	Uganda	Uganda	Uganda	Uganda	Uganda
						Ukraine	Ukraine	Ukraine	Ukraine	Ukraine	Ukraine	
Uruguay	Uruguay	Uruguay	Uruguay	Uruguay	Uruguay	Uruguay	Uruguay	Uruguay	Uruguay	Uruguay	Uruguay	Uruguay
						Uzbekistan	Uzbekistan	Uzbekistan	Uzbekistan	Uzbekistan	Uzbekistan	Uzbekistan
Vanuatu	Vanuatu	Vanuatu	Vanuatu	Vanuatu	Vanuatu	Vanuatu	Vanuatu	Vanuatu	Vanuatu	Vanuatu	Vanuatu	Vanuatu
Venezuela	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela	Venezuela
Wallis and Futuna	Wallis and Futuna	Wallis and Futuna	Wallis and Futuna	Wallis and Futuna	Wallis and Futuna	Wallis and Futuna	Wallis and Futuna	Wallis & Futuna	Wallis & Futuna	Wallis & Futuna	Wallis & Futuna	Wallis & Futuna
							West Bank and Gaza Strip	West Bank	West Bank	West Bank	West Bank	West Bank
Western Sahara	Western Sahara	Western Sahara	Western Sahara	Western Sahara	Western Sahara	Western Sahara	Western Sahara	Western Sahara	Western Sahara	Western Sahara	Western Sahara	Western Sahara
Western Samoa	Western Samoa	Western Samoa	Western Samoa	Western Samoa	Western Samoa	Western Samoa	Western Samoa	Samoa	Samoa	Samoa	Samoa	Samoa
Yemen Arab Republic (Sanaa)	Yemen Arab Republic (Sanaa)	Yemen Arab Republic (Sanaa)	Yemen Arab Republic (Sanaa)	Yemen Arab Republic (Sanaa)	Yemen Arab Republic (Sanaa)	Yemen Arab Republic (Sanaa)	Yemen Arab Republic (Sanaa)	Yemen	Yemen	Yemen	Yemen	Yemen
Yugoslavia	Yugoslavia	Yugoslavia	Yugoslavia									
Zaire	Zaire	Zaire	Zaire	Zaire	Zaire	Zaire	Zaire	Congo (DROC)	Congo (DROC)	Congo (DROC)	Congo (DROC)	Congo (DROC)
Zambia	Zambia	Zambia	Zambia	Zambia	Zambia	Zambia	Zambia	Zambia	Zambia	Zambia	Zambia	Zambia
Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe	Zimbabwe





												
