Subhead,Description,Canada,,USA,,Mexico,
,,,,,,,
0910.30,Turmeric (curcuma),0910.30.00,D,0910.30.00,D,0910.30.01,A
,,,,,,,
,,,,,,,
0910.40,Thyme and bay leaves,0910.40.10,D,0910.40.20,D,0910.40.01,A
,,0910.40.20,A,0910.40.30,A,,
,,,,0910.40.40,A,,
,,,,,,,
0910.50,Curry,0910.50.00,D,0910.50.00,D,0910.50.01,A
,,,,,,,
0910.91,Mixtures of two or more of the products of different headings,0910.91.10,D,0910.91.00,A,0910.91.01,A
,,0910.91.20,A,,,,
,,,,,,,
0910.99,Spices nes,0910.99.11,Bg,0910.99.20,D,0910.99.99,A
,,0910.99.19,D,0910.99.40,A,,
,,0910.99.91,D,0910.99.50,D,,
,,0910.99.92,A,0910.99.60,A,,
,,,,,,,
1001.10,Durum wheat,1001.10.00,Bg,1001.10.00,C,1001.10.01,C
,,,,,,,
1001.90,Wheat nes and meslin,1001.90.00,Bg,1001.90.10,A,1001.90.99,C
,,,,1001.90.20,B,,
,,,,,,,
1002.00,Rye,1002.00.00,D,1002.00.00,D,1002.00.01,A
,,,,,,,
1003.00,Barley,1003.00.00,Bg,1003.00.20,A,1003.00.01,A
,,,,1003.00.40,A,1003.00.02,CAg
,,,,,,1003.00.99,CAg
,,,,,,,
1004.00,Oats,1004.00.00,D,1004.00.00,D,1004.00.01,A
,,,,,,1004.00.99,C
,,,,,,,
1005.10,Maize (corn) seed,1005.10.10,Bg,1005.10.00,D,1005.10.01,D
,,1005.10.90,Bg,,,,
,,,,,,,
1005.90,Maize (corn) nes,1005.90.10,Bg,1005.90.20,A,1005.90.01,C
,,1005.90.90,Bg,1005.90.40,A,1005.90.02,C
,,,,,,1005.90.99,C+Ag
,,,,,,,
1006.10,Rice in the husk (paddy or rough),1006.10.00,D,1006.10.00,C,1006.10.01,C
,,,,,,,
1006.20,"Rice, husked (brown)",1006.20.00,D,1006.20.20,C,1006.20.01,C
,,,,1006.20.40,C,,
,,,,,,,
1006.30,"Rice, semi-milled or wholly milled, whether or not polished or",1006.30.00,A,1006.30.10,A,1006.30.01,C
,,,,1006.30.90,C,,
,,,,,,,
1006.40,"Rice, broken",1006.40.00,A,1006.40.00,C,1006.40.01,C
,,,,,,,
1007.00,Grain sorghum,1007.00.00,A,1007.00.00,A,1007.00.01,D
,,,,,,1007.00.02,A
,,,,,,,
1008.10,Buckwheat,1008.10.00,D,1008.10.00,D,1008.10.01,A
,,,,,,,
,,,,,,,
1008.20,Millet,1008.20.00,D,1008.20.00,A,1008.20.01,A
,,,,,,,
1008.30,Canary seed,1008.30.10,Bg,1008.30.00,A,1008.30.01,B
,,1008.30.20,D,,,,
,,,,,,,
1008.90,Cereals unmilled nes,1008.90.00,D,1008.90.00,A,1008.90.99,C
,,,,,,,
1101.00,Wheat or meslin flour,1101.00.00,Bg,1101.00.00,A,1101.00.01,C
,,,,,,,
1102.10,Rye flour,1102.10.00,Bg,1102.10.00,A,1102.10.01,C
,,,,,,,
1102.20,Maize (corn) flour,1102.20.00,Bg,1102.20.00,A,1102.20.01,C
,,,,,,,
1102.30,Rice flour,1102.30.00,A,1102.30.00,A,1102.30.01,C
,,,,,,,
1102.90,Cereal flour nes,1102.90.00,A,1102.90.20,D,1102.90.99,C
,,,,,,,
,,,,1102.90.30,A,,
,,,,1102.90.60,A,,
,,,,,,,
1103.11,Wheat meal,1103.11.00,Bg,1103.11.00,A,1103.11.01,C
,,,,,,,
1103.12,Oat groats and meal,1103.12.00,A,1103.12.00,A,1103.12.01,C
,,,,,,,
1103.13,Maize (corn) groats and meal,1103.13.10,Bg,1103.13.00,A,1103.13.01,C
,,1103.13.20,D,,,,
,,1103.13.90,Bg,,,,
,,,,,,,
1103.14,Rice groats and meal,1103.14.00,D,1103.14.00,A,1103.14.01,C
,,,,,,,
1103.19,Cereal groats and meal nes,1103.19.10,D,1103.19.00,A,1103.19.99,C
,,1103.19.90,Bg,,,,
,,,,,,,
1103.21,Wheat pellets,1103.21.00,Bg,1103.21.00,D,1103.21.01,C
,,,,,,,
1103.29,Cereal pellets nes,1103.29.00,Bg,1103.29.00,D,1103.29.99,C
,,,,,,,
1104.11,"Barley, rolled or flaked grains",1104.11.00,Bg,1104.11.00,A,1104.11.01,C
,,,,,,,
1104.12,"Oats, rolled or flaked grains",1104.12.00,A,1104.12.00,A,1104.12.01,C
,,,,,,,
1104.19,"Cereals, rolled or flaked grains nes",1104.19.10,D,1104.19.00,A,1104.19.01,C
,,1104.19.90,A,,,,
,,,,,,,
1104.21,"Barley,hulled,pearled,sliced or kibbled",1104.21.00,Bg,1104.21.00,A,1104.21.01,C
,,,,,,,
1104.22,"Oats, hulled,pearled,sliced or kibbled",1104.22.00,A,1104.22.00,A,1104.22.01,C
,,,,,,,
1104.23,"Maize (corn), hulled, pearled, sliced or kibbled",1104.23.00,Bg,1104.23.00,A,1104.23.01,C
,,,,,,,
1104.29,"Cereals, hulled, pearled, sliced or kibbled nes",1104.29.00,A,1104.29.00,A,1104.29.01,C
,,,,,,,
1104.30,"Germ of cereals, whole, rolled, flaked or ground",1104.30.00,A,1104.30.00,A,1104.30.01,C
,,,,,,,
1105.10,Potato flour and meal,1105.10.00,Bg,1105.10.00,A,1105.10.01,C
,,,,,,,
1105.20,Potato flakes,1105.20.00,Bg,1105.20.00,A,1105.20.01,C
,,,,,,,
1106.10,Flour and meal of the dried leguminous vegetables of heading N,1106.10.10,D,1106.10.00,A,1106.10.01,C
,,1106.10.90,Bg,,,,
,,,,,,,
1106.20,Flour and meal of sago and of roots or tubers with hi starch o,1106.20.10,A,1106.20.00,D,1106.20.01,C
,,1106.20.90,Bg,,,1106.20.99,C
,,,,,,,
1106.30,"Flour, meal and powder of edible fruits & nuts & peel of citru",1106.30.00,Bg,1106.30.20,A,1106.30.01,C
,,,,1106.30.40,A,1106.30.99,C
,,,,,,,
1107.10,"Malt, not roasted",1107.10.10,Bg,1107.10.00,A,1107.10.01,CAg
,,,,,,,
,,1107.10.90,Bg,,,,
,,,,,,,
1107.20,"Malt, roasted",1107.20.10,Bg,1107.20.00,A,1107.20.01,CAg
,,1107.20.90,Bg,,,,
,,,,,,,
1108.11,"Wheat, starch",1108.11.00,Bg,1108.11.00,A,1108.11.01,C
,,,,,,,
1108.12,Maize (corn) starch,1108.12.00,Bg,1108.12.00,A,1108.12.01,C
,,,,,,,
1108.13,Potato starch,1108.13.00,Bg,1108.13.00,B,1108.13.01,C
,,,,,,,
1108.14,Manioc (cassava) starch,1108.14.00,A,1108.14.00,D,1108.14.01,C
,,,,,,,
1108.19,Starches nes,1108.19.00,A,1108.19.00,D,1108.19.01,C
,,,,,,1108.19.99,C
,,,,,,,
1108.20,Inulin,1108.20.00,Bg,1108.20.00,A,1108.20.01,C
,,,,,,,
1109.00,"Wheat gluten, whether or not dried",1109.00.00,Bg,1109.00.10,A,1109.00.01,C
,,,,1109.00.90,A,,
,,,,,,,
1201.00,Soya beans,1201.00.00,D,1201.00.00,D,1201.00.01,D
,,,,,,1201.00.02,D
,,,,,,1201.00.03,C
,,,,,,,
1202.10,Ground-nuts in shell not roasted or otherwise cooked,1202.10.00,D,1202.10.00,C+,1202.10.01,D
,,,,,,1202.10.99,D
,,,,,,,
1202.20,"Ground-nuts shelled, whether or not broken, not roasted or",1202.20.00,D,1202.20.00,C+,1202.20.01,D
,,,,,,,
1203.00,Copra,1203.00.00,D,1203.00.00,D,1203.00.01,C
,,,,,,,
1204.00,"Linseed, whether or not broken",1204.00.00,D,1204.00.00,A,1204.00.01,D
,,,,,,1204.00.99,D
,,,,,,,
1205.00,"Rape or colza seeds, whether or not broken",1205.00.00,D,1205.00.00,A,1205.00.01,D
,,,,,,1205.00.02,D
,,,,,,,
1206.00,"Sunflower seeds, whether or not broken",1206.00.00,D,1206.00.00,D,1206.00.01,D
,,,,,,1206.00.99,D
,,,,,,,
1207.10,"Palm nuts and kernels, whether or not broken",1207.10.00,D,1207.10.00,D,1207.10.01,D
,,,,,,,
1207.20,"Cotton seeds, whether or not broken",1207.20.00,D,1207.20.00,A,1207.20.01,D
,,,,,,1207.20.02,D
,,,,,,,
1207.30,"Castor oil seeds, whether or not broken",1207.30.00,D,1207.30.00,D,1207.30.01,D
,,,,,,,
1207.40,"Sesamum seeds, whether or not broken",1207.40.00,D,1207.40.00,D,1207.40.01,D
,,,,,,,
1207.50,"Mustard seeds, whether or not broken",1207.50.00,D,1207.50.00,D,1207.50.01,D
,,,,,,,
,,,,,,,
1207.60,"Safflower seeds, whether or not broken",1207.60.00,D,1207.60.00,D,1207.60.01,D
,,,,,,1207.60.02,D
,,,,,,1207.60.03,C
,,,,,,,
1207.91,"Poppy seeds, whether or not broken",1207.91.00,D,1207.91.00,A,1207.91.01,Pro
,,,,,,,
1207.92,"Shea nuts (karite nuts), whether or not broken",1207.92.00,D,1207.92.00,D,1207.92.01,D
,,,,,,,
1207.99,"Oil seeds and oleaginous fruits, nes, whether or not broken",1207.99.00,D,1207.99.00,D,1207.99.01,D
,,,,,,1207.99.99,D
,,,,,,,
1208.10,Soya bean flour and meals,1208.10.10,A,1208.10.00,A,1208.10.01,C
,,1208.10.20,D,,,,
,,,,,,,
1208.90,"Flours and meals of oil seeds or oleaginous fruits, except",1208.90.10,A,1208.90.00,A,1208.90.01,C
,,1208.90.20,D,,,1208.90.02,C
,,,,,,1208.90.99,C
,,,,,,,
1209.11,"Seeds, sugar beet, for sowing",1209.11.00,D,1209.11.00,D,1209.11.01,A
,,,,,,,
1209.19,"Seeds, beet, for sowing nes",1209.19.10,Bg,1209.19.00,D,1209.19.99,A
,,1209.19.20,D,,,,
,,,,,,,
1209.21,"Seeds, lucerne (alfalfa), for sowing",1209.21.00,D,1209.21.00,A,1209.21.01,D
,,,,,,,
1209.22,"Seeds, clover, for sowing",1209.22.00,D,1209.22.20,A,1209.22.01,D
,,,,1209.22.40,D,,
,,,,,,,
1209.23,"Seeds, fescue, for sowing",1209.23.00,D,1209.23.00,D,1209.23.01,D
,,,,,,,
1209.24,"Seeds, Kentucky blue grass, for sowing",1209.24.00,D,1209.24.00,A,1209.24.01,D
,,,,,,,
1209.25,"Seeds, rye grass, for sowing",1209.25.00,D,1209.25.00,A,1209.25.01,D
,,,,,,,
1209.26,"Seeds, Timothy grass, for sowing",1209.26.00,D,1209.26.00,D,1209.26.01,D
,,,,,,,
1209.29,"Seeds of forage plants, except beet seeds, for sowing nes",1209.29.00,D,1209.29.00,D,1209.29.01,D
,,,,,,1209.29.02,D
,,,,,,1209.29.03,D
,,,,,,1209.29.99,D
,,,,,,,
1209.30,"Seeds, flower, for sowing",1209.30.10,Bg,1209.30.00,A,1209.30.01,D
,,1209.30.20,D,,,,
,,,,,,,
1209.91,"Seeds, vegetable, nes for sowing",1209.91.11,D,1209.91.10,A,1209.91.01,D
,,1209.91.19,Bg,1209.91.20,D,1209.91.02,D
,,1209.91.20,D,1209.91.40,D,1209.91.03,D
,,,,1209.91.50,A,1209.91.04,D
,,,,1209.91.60,D,1209.91.05,D
,,,,1209.91.80,A,1209.91.06,D
,,,,,,,
,,,,,,1209.91.07,D
,,,,,,1209.91.08,D
,,,,,,1209.91.09,D
,,,,,,1209.91.10,D
,,,,,,1209.91.11,D
,,,,,,1209.91.12,D
,,,,,,1209.91.13,D
,,,,,,1209.91.14,D
,,,,,,1209.91.99,D
,,,,,,,
1209.99,"Seeds, fruit and spores for sowing, nes",1209.99.10,D,1209.99.20,D,1209.99.01,D
,,1209.99.91,Bg,1209.99.40,A,1209.99.02,D
,,1209.99.92,D,,,1209.99.03,D
,,,,,,1209.99.04,D
,,,,,,1209.99.99,D
,,,,,,,
1210.10,"Hop cones, not ground, powdered or pelleted",1210.10.00,D,1210.10.00,A,1210.10.01,D
,,,,,,,
1210.20,"Hop cones, ground, powdered or pelleted and lupulin",1210.20.00,D,1210.20.00,A,1210.20.01,D
,,,,,,,
1211.10,"Liquorice roots used primarily in pharm, perf, insecticide,",1211.10.00,D,1211.10.00,D,1211.10.01,A
,,,,,,,
1211.20,"Ginseng roots used primarily in pharm, perf, insecticide,",1211.20.00,D,1211.20.00,D,1211.20.01,A
,,,,,,,
1211.90,"Plants &pts of plants(incl seed & fruit) used in pharm, perf,",1211.90.00,D,1211.90.20,D,1211.90.01,A
,,,,1211.90.40,A,1211.90.02,Pro
,,,,1211.90.60,A,1211.90.03,Pro
,,,,1211.90.80,D,1211.90.99,A
,,,,,,,
1212.10,"Locust beans, including seeds, fresh or dried, whether or not",1212.10.00,D,1212.10.00,D,1212.10.01,A
,,,,,,1212.10.99,A
,,,,,,,
1212.20,"Seaweeds and other algae, fresh or dried whether or not ground",1212.20.00,D,1212.20.00,D,1212.20.01,B
,,,,,,,
1212.30,"Apricot, peach or plum stones & kernels nes,used primarily for",1212.30.00,Bg,1212.30.00,A,1212.30.01,A
,,,,,,,
1212.91,"Sugar beet, fresh or dried, whether or not ground",1212.91.00,Bg,1212.91.00,B,1212.91.01,A
,,,,,,,
1212.92,"Sugar cane, fresh or dried, whether or not ground",1212.92.00,Bg,1212.92.00,A,1212.92.01,C
,,,,,,,
1212.99,Vegetable products nes used primarily for human consumption,1212.99.00,D,1212.99.00,D,1212.99.01,C
,,,,,,1212.99.99,A
,,,,,,,
1213.00,"Cereal straw and husks, unprepd, whether or not chopped,",1213.00.00,D,1213.00.00,D,1213.00.01,B
,,,,,,,
1214.10,Lucerne (alfalfa) meal and pellets,1214.10.00,A,1214.10.00,A,1214.10.01,C
,,,,,,,
1214.90,"Swedes,mangolds,fodder roots,hay,clover, sainfoin,forage",1214.90.10,A,1214.90.00,D,1214.90.01,C
,,1214.90.90,D,,,1214.90.99,C
,,,,,,,
1301.10,Lac,1301.10.00,D,1301.10.00,D,1301.10.01,A
,,,,,,,
,,,,,,,
1301.20,Gum arabic,1301.20.00,D,1301.20.00,D,1301.20.01,A
,,,,,,1301.20.02,A
,,,,,,,
1301.90,"Natural gums, resins, gum-resins and balsam, except arabic gum",1301.90.00,D,1301.90.40,A,1301.90.01,A
,,,,1301.90.90,D,1301.90.02,A
,,,,,,1301.90.99,A
,,,,,,,
1302.11,Opium sap,1302.11.00,A,1302.11.00,D,1302.11.01,Pro
,,,,,,1302.11.02,Pro
,,,,,,1302.11.03,Pro
,,,,,,1302.11.99,A
,,,,,,,
1302.12,Liquorice extract,1302.12.00,D,1302.12.00,A,1302.12.01,A
,,,,,,1302.12.99,C
,,,,,,,
1302.13,Hop extract,1302.13.00,D,1302.13.00,B,1302.13.01,D
,,,,,,,
1302.14,"Pyrethrum or roots of plants containing rotenone, extracts",1302.14.00,D,1302.14.00,D,1302.14.01,A
,,,,,,1302.14.99,A
,,,,,,,
1302.19,Vegetable saps and extracts nes,1302.19.00,D,1302.19.20,D,1302.19.01,A
,,,,1302.19.40,A,1302.19.02,A
,,,,1302.19.90,D,1302.19.03,A
,,,,,,1302.19.04,A
,,,,,,1302.19.05,A
,,,,,,1302.19.06,A
,,,,,,1302.19.07,A
,,,,,,1302.19.08,A
,,,,,,1302.19.09,Pro
,,,,,,1302.19.10,A
,,,,,,1302.19.11,A
,,,,,,1302.19.99,A
,,,,,,,
1302.20,"Pectic substances, pectinates & pectates",1302.20.00,D,1302.20.00,B,1302.20.01,A
,,,,,,1302.20.99,A
,,,,,,,
1302.31,Agar-agar,1302.31.00,D,1302.31.00,A,1302.31.01,A
,,,,,,,
1302.32,Mucilages and thickeners derived from locust beans and seeds o,1302.32.00,D,1302.32.00,D,1302.32.01,A
,,,,,,1302.32.02,A
,,,,,,1302.32.99,A
,,,,,,,
1302.39,"Mucilages and thickeners nes, modified or not, derived from",1302.39.00,D,1302.39.00,B,1302.39.01,A
,,,,,,1302.39.02,B
,,,,,,1302.39.99,A
,,,,,,,
1401.10,Bamboos used primarily for plaiting,1401.10.00,D,1401.10.00,D,1401.10.01,A
,,,,,,,
1401.20,Rattans used primarily for plaiting,1401.20.00,D,1401.20.20,D,1401.20.01,A
,,,,1401.20.40,A,,
,,,,,,,
,,,,,,,
1401.90,"Vegetable materials nes, used primarily for plaiting",1401.90.00,D,1401.90.20,B,1401.90.99,A
,,,,1401.90.40,A,,
,,,,,,,
1402.10,Kapok used as stuffing or padding put up or not as a layer wit,1402.10.00,D,1402.10.00,D,1402.10.01,A
,,,,,,,
1402.91,Veg hair used as stuffing or padding put up or not as a layer,1402.91.00,D,1402.91.00,A,1402.91.01,A
,,,,,,,
1402.99,Veg mat nes used as stuffing or pad put up or not as a layer w,1402.99.00,D,1402.99.00,D,1402.99.99,A
,,,,,,,
1403.10,Broomcorn used in brooms or brushes whether or not in hanks or,1403.10.00,D,1403.10.00,A,1403.10.01,A
,,,,,,,
1403.90,Veg mat nes used in brooms or brushes whether or not in hanks,1403.90.00,D,1403.90.20,D,1403.90.01,A
,,,,1403.90.40,A,1403.90.99,A
,,,,,,,
1404.10,Raw vegetable materials used primarily in dyeing or tanning,1404.10.00,D,1404.10.00,D,1404.10.01,A
,,,,,,1404.10.99,A
,,,,,,,
1404.20,Cotton linters,1404.20.00,D,1404.20.00,D,1404.20.01,C
,,,,,,,
1404.90,Vegetable products nes,1404.90.00,D,1404.90.00,D,1404.90.99,A
,,,,,,,
1501.00,"Lard;pig fat nes & poultry fat,rendered, whether or not presse",1501.00.00,A,1501.00.00,A,1501.00.01,CAg
,,,,,,,
1502.00,"Bovine,sheep & goat fats,raw or rendered whether or not presse",1502.00.00,A,1502.00.00,A,1502.00.01,C
,,,,,,,
1503.00,"Lard stearin & oil, oleostearin & oil & tallow oil,not",1503.00.00,A,1503.00.00,A,1503.00.01,C
,,,,,,1503.00.99,C
,,,,,,,
1504.10,"Fish-liver oils & their fractions, refined or not, but not",1504.10.00,A,1504.10.20,D,1504.10.01,A
,,,,1504.10.40,A,1504.10.99,C
,,,,,,,
1504.20,"Fish fats & oils & their fractions exc liver,refined or not,",1504.20.00,A,1504.20.20,D,1504.20.01,C
,,,,1504.20.40,A,1504.20.99,C
,,,,1504.20.60,A,,
,,,,,,,
1504.30,"Marine mammal fats & oils & their fract, refined or not, but",1504.30.00,A,1504.30.00,A,1504.30.01,C
,,,,,,,
1505.10,"Wool grease, crude",1505.10.00,A,1505.10.00,A,1505.10.01,B
,,,,,,,
1505.90,Derivatives of wool grease and fatty substances (including,1505.90.00,A,1505.90.00,A,1505.90.01,B
,,,,,,1505.90.02,C
,,,,,,1505.90.99,C
,,,,,,,
1506.00,"Animal fats & oils & their fractions nes refined or not, but",1506.00.00,A,1506.00.00,A,1506.00.01,C
,,,,,,1506.00.99,C
,,,,,,,
1507.10,"Soya-bean oil crude, whether or not degummed",1507.10.00,A,1507.10.00,B,1507.10.01,C
,,,,,,,
1507.90,"Soya-bean oil and its fractions, refined but not chemically",1507.90.10,D,1507.90.20,A,1507.90.99,C
,,1507.90.90,Bg,1507.90.40,B,,
,,,,,,,
,,,,,,,
1508.10,"Ground-nut oil, crude",1508.10.00,A,1508.10.00,A,1508.10.01,C
,,,,,,,
1508.90,Ground-nut oil and its fractions refined but not chemically,1508.90.00,A,1508.90.00,A,1508.90.99,C
,,,,,,,
1509.10,"Olive oil, virgin",1509.10.00,D,1509.10.20,A,1509.10.01,A
,,,,1509.10.40,A,1509.10.99,A
,,,,,,,
1509.90,Olive oil and its fractions refined but not chemically modifie,1509.90.00,D,1509.90.20,A,1509.90.01,A
,,,,1509.90.40,A,1509.90.02,A
,,,,,,1509.90.99,A
,,,,,,,
1510.00,"Oils & their fract nes obt from olives, ref'd or not, not chem",1510.00.00,D,1510.00.20,D,1510.00.01,C
,,,,1510.00.40,A,,
,,,,1510.00.60,A,,
,,,,,,,
1511.10,"Palm oil, crude",1511.10.00,A,1511.10.00,D,1511.10.01,C
,,,,,,1511.10.99,C
,,,,,,,
1511.90,Palm oil and its fractions refined but not chemically modified,1511.90.00,Bg,1511.90.00,D,1511.90.99,C
,,,,,,,
1512.11,"Sunflower-seed or safflower oil, crude",1512.11.10,A,1512.11.0X,B,1512.11.01,C
,,1512.11.20,A,1512.11.0Y,B,,
,,,,,,,
1512.19,Sunflower-seed or safflower oil & their fractions refined but,1512.19.10,A,1512.19.0X,B,1512.19.99,C
,,1512.19.20,A,1512.19.0Y,B,,
,,,,,,,
1512.21,"Cotton-seed oil crude, whether or not gossypol has been remove",1512.21.00,A,1512.21.00,B,1512.21.01,C
,,,,,,,
1512.29,Cotton-seed and its fractions refined but not chemically,1512.29.00,A,1512.29.00,B,1512.29.99,C
,,,,,,,
1513.11,Coconut (copra) oil crude,1513.11.00,A,1513.11.00,D,1513.11.01,C
,,,,,,,
1513.19,Coconut (copra) oil and its fractions refined but not,1513.19.00,A,1513.19.00,D,1513.19.99,C
,,,,,,,
1513.21,"Palm kernel or babassu oil, crude",1513.21.00,A,1513.21.00,D,1513.21.01,C
,,,,,,,
1513.29,"Palm kernel or babassu oil their fract, refined but not",1513.29.00,Bg,1513.29.00,D,1513.29.99,C
,,,,,,,
1514.10,"Rape, colza or mustard oil crude",1514.10.00,A,1514.10.10,D,1514.10.01,C
,,,,1514.10.90,A,,
,,,,,,,
1514.90,"Rape,colza or mustard oil & their fract, refined but not",1514.90.00,A,1514.90.10,D,1514.90.99,C
,,,,1514.90.50,A,,
,,,,1514.90.90,A,,
,,,,,,,
1515.11,"Linseed oil, crude",1515.11.00,A,1515.11.00,A,1515.11.01,C
,,,,,,,
1515.19,"Linseed oil and its fractions, refined but not chemically",1515.19.00,Bg,1515.19.00,A,1515.19.99,C
,,,,,,,
1515.21,Maize (corn) oil crude,1515.21.00,A,1515.21.00,A,1515.21.01,C
,,,,,,,
,,,,,,,
1515.29,"Maize (corn) oil and its fractions, refined but not chemically",1515.29.00,Bg,1515.29.00,A,1515.29.99,C
,,,,,,,
1515.30,"Castor oil and its fractions,whether or not refined, but not",1515.30.10,D,1515.30.20,A,1515.30.01,A
,,1515.30.90,Bg,1515.30.40,A,,
,,,,,,,
1515.40,"Tung oil and its fractions, whether or not refined, but not",1515.40.00,D,1515.40.00,D,1515.40.01,A
,,,,,,,
1515.50,"Sesame oil and its fractions whether or not refined, but not",1515.50.10,A,1515.50.00,A,1515.50.01,A
,,1515.50.90,Bg,,,,
,,,,,,,
1515.60,"Jojoba oil and its fractions whether or not refined, but not",1515.60.10,A,1515.60.00,A,1515.60.01,A
,,1515.60.90,Bg,,,,
,,,,,,,
1515.90,"Veg fats & oils nes & their fractions, refined or not but not",1515.90.10,D,1515.90.20,D,1515.90.01,A
,,1515.90.91,A,1515.90.40,A,1515.90.02,A
,,1515.90.99,A,,,1515.90.03,C
,,,,,,1515.90.99,C
,,,,,,,
1516.10,"Animal fats & oils & fract hydrogenated, inter or",1516.10.00,A,1516.10.00,A,1516.10.01,CAg
,,,,,,,
1516.20,"Veg fats &oils & fractions hydrogenated, inter or",1516.20.00,A,1516.20.10,A,1516.20.01,C
,,,,1516.20.90,A,,
,,,,,,,
1517.10,"Margarine, excluding liquid margarine",1517.10.00,A,1517.10.00,A,1517.10.01,C
,,,,,,,
1517.90,Edible mx or prep of animal or veg fats & oils or of fractions,1517.90.10,Bg,1517.90.10,A,1517.90.01,C
,,1517.90.91,A,1517.90.20,A,1517.90.02,C
,,1517.90.99,Bg,1517.90.40,C,1517.90.99,C
,,,,,,,
1518.00,"Animal or veg fats & oils & fract boiled oxid,etc, & ined",1518.00.10,Bg,1518.00.20,A,1518.00.01,C
,,1518.00.20,A,1518.00.40,A,1518.00.02,C
,,1518.00.90,Bg,,,1518.00.03,C
,,,,,,1518.00.99,C
,,,,,,,
1519.11,Stearic acid,1519.11.00,Bg,1519.11.00,A,1519.11.01,C
,,,,,,1519.11.02,C
,,,,,,1519.11.99,C
,,,,,,,
1519.12,Oleic acid,1519.12.00,Bg,1519.12.00,A,1519.12.01,C
,,,,,,1519.12.99,C
,,,,,,,
1519.13,Tall oil fatty acids,1519.13.00,D,1519.13.00,A,1519.13.01,C
,,,,,,,
1519.19,"Industrial monocarboxylic fatty acids, nes",1519.19.00,Bg,1519.19.20,A,1519.19.01,C
,,,,1519.19.40,A,1519.19.99,C
,,,,,,,
1519.20,Acid oils from refining,1519.20.00,Bg,1519.20.00,A,1519.20.01,C
,,,,,,,
1519.30,Industrial fatty alcohols,1519.30.10,D,1519.30.20,A,1519.30.01,C
,,1519.30.90,Bg,1519.30.40,A,1519.30.02,C
,,,,,,,
,,,,1519.30.60,A,1519.30.99,C
,,,,,,,
1520.10,"Glycerol (glycerine), crude and glycerol waters and lyes",1520.10.00,D,1520.10.00,A,1520.10.01,C
,,,,,,1520.10.99,C
,,,,,,,
1520.90,"Glycerol (glycerine), nes including synthetic glycerol",1520.90.00,Bg,1520.90.00,A,1520.90.01,C
,,,,,,1520.90.99,A
,,,,,,,
1521.10,"Vegetable waxes excluding triglycerides, whether or not refine",1521.10.10,D,1521.10.00,D,1521.10.01,C
,,1521.10.90,Bg,,,1521.10.99,C
,,,,,,,
1521.90,"Beeswax,other insect waxes & spermaceti whether or not refined",1521.90.10,A,1521.90.20,A,1521.90.01,A
,,1521.90.90,A,1521.90.40,D,1521.90.02,A
,,,,,,1521.90.03,A
,,,,,,1521.90.99,A
,,,,,,,
1522.00,Degras & residues from fatty substances or animal or vegetable,1522.00.10,D,1522.00.00,A,1522.00.01,C
,,1522.00.90,Bg,,,1522.00.99,C
,,,,,,,
1601.00,"Sausages & sim prod of meat, meat offal or blood & food prep",1601.00.10,A,1601.00.20,A,1601.00.01,C
,,1601.00.1V,Ex,1601.00.40,A,1601.00.9X,EX
,,1601.00.91,A,1601.00.60,A,1601.00.99,C
,,1601.00.99,A,,,,
,,,,,,,
1602.10,Homogenized preparations of meat and meat offal,1602.10.00,A,1602.10.00,A,1602.10.01,C
,,,,,,,
1602.20,Livers of any animal prepared or preserved,1602.20.10,A,1602.20.20,A,1602.20.0X,EX
,,1602.20.90,D,1602.20.40,A,1602.20.01,C
,,,,,,,
1602.31,"Turkey meat and meat offal prepared or preserved, excluding",1602.31.10,Ex,1602.31.00,A,1602.31.01,EX
,,1602.31.91,Ex,,,,
,,1602.31.99,Ex,,,,
,,,,,,,
1602.39,"Dom fowl, duck, goose & guinea fowl meat & meat offal prep or",1602.39.10,Ex,1602.39.00,A,1602.39.99,EX
,,1602.39.91,Ex,,,,
,,1602.39.99,Ex,,,,
,,,,,,,
1602.41,Hams and cuts thereof of swine prepared or preserved,1602.41.10,A,1602.41.10,A,1602.41.01,C
,,1602.41.90,A,1602.41.20,A,,
,,,,1602.41.90,A,,
,,,,,,,
1602.42,Shoulders and cut thereof of swine prepared or preserved,1602.42.10,A,1602.42.20,A,1602.42.01,C
,,1602.42.90,A,1602.42.40,A,,
,,,,,,,
1602.49,"Swine meat & meat offal nes/exc livers/ incl mixtures, prepare",1602.49.10,Bg,1602.49.10,A,1602.49.01,C
,,1602.49.91,A,1602.49.20,A,1602.49.99,C
,,1602.49.99,A,1602.49.40,A,,
,,,,1602.49.60,A,,
,,,,1602.49.90,A,,
,,,,,,,
1602.50,"Bovine meat and meat offal nes,excluding livers, prepared or",1602.50.10,Bg,1602.50.05,A,1602.50.01,C
,,,,,,,
,,1602.50.91,A,1602.50.09,A,1602.50.99,C
,,1602.50.99,A,1602.50.10,A,,
,,,,1602.50.20,A,,
,,,,1602.50.60,A,,
,,,,1602.50.90,A,,
,,,,,,,
1602.90,"Meat, meat offal or blood, prepared or preserved, nes",1602.90.10,Bg,1602.90.10,A,1602.90.01,C
,,1602.90.91,A,1602.90.90,A,,
,,1602.90.99,A,,,,
,,,,,,,
1603.00,"Extracts & juices of meat,fish,or crust, molluscs or other",1603.00.10,A,1603.00.10,A,1603.00.01,B
,,1603.00.21,Bg,1603.00.90,D,1603.00.99,B
,,1603.00.29,A,,,,
,,,,,,,
